TOPIC,PROBLEM LINK,SOLUTION
Searching & Sorting,Count triplet with sum smaller than a given value,"1. Problem Summary: The problem requires finding the count of triplets in an array such that the sum of the elements of the triplet is less than a given value `X`. The array may contain both positive and negative numbers.

2. Approach: The optimal approach utilizes sorting and the two-pointer technique. First, sort the array. For each element in the array, use it as the first element of a potential triplet, and then try to find suitable second and third elements using two pointers, one starting just after the current first element and the other at the end of the array. Move the second pointer forward (increasing sum) and the third pointer backward (decreasing sum) to find pairs whose sum with the first element is less than `X`. This method ensures that all possible triplets are considered without redundant checks, leveraging the sorted nature of the array for efficient searching.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int countTriplets(vector<int>& arr, int X) {
    sort(arr.begin(), arr.end());
    int n = arr.size();
    int count = 0;

    for (int i = 0; i < n - 2; i++) {
        int left = i + 1, right = n - 1;
        while (left < right) {
            int sum = arr[i] + arr[left] + arr[right];
            if (sum < X) {
                count += (right - left); // all elements between left and right form valid pairs with arr[i]
                left++; // move left pointer to explore more pairs
            } else {
                right--; // sum is too large, try reducing it
            }
        }
    }
    return count;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n^2), where n is the number of elements in the array, due to the nested loops after sorting. The space complexity is O(1), as no extra space is needed beyond input storage."
Searching & Sorting,merge 2 sorted arrays,"1. Problem Summary: 
   The problem involves merging two pre-sorted arrays into a single sorted array. The input consists of two integer arrays sorted in non-decreasing order, and the output should be a merged sorted array containing all elements from both input arrays.

2. Approach: 
   The optimal approach uses a two-pointer technique. Initialize pointers for each array (let's call them `i` and `j`) starting from the beginning of each array. Compare the elements at these pointers, and append the smaller element to the result array, moving the corresponding pointer forward. Continue this process until one of the pointers exceeds its array length. Finally, append any remaining elements from the other array to the result. This method does not require extra space for merging since it constructs the result dynamically and is easy to understand and implement.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

vector<int> mergeSortedArrays(vector<int>& arr1, vector<int>& arr2) {
    int i = 0, j = 0;
    vector<int> result;

    while (i < arr1.size() && j < arr2.size()) {
        if (arr1[i] < arr2[j]) {
            result.push_back(arr1[i++]);
        } else {
            result.push_back(arr2[j++]);
        }
    }

    while (i < arr1.size()) {
        result.push_back(arr1[i++]);
    }

    while (j < arr2.size()) {
        result.push_back(arr2[j++]);
    }

    return result;
}
```

4. Time Complexity and Space Complexity: 
   The time complexity is O(n + m), where n and m are the lengths of the two arrays, respectively. The space complexity is O(n + m) for storing the result array."
Searching & Sorting,print all subarrays with 0 sum,"1. Problem Summary: The problem requires finding all subarrays within a given array that sum to zero. A subarray is a contiguous part of the original array, and the goal is to identify every possible subarray that meets this criterion.

2. Approach: The optimal solution uses a hashmap to track the cumulative sum of the elements of the array as you iterate through it. The key insight is that if the cumulative sum has been seen before, all elements between the previous occurrence and the current index sum to zero. We initialize the hashmap with a zero sum at index -1 to handle cases where a subarray starting from index 0 sums to zero. As we iterate, we check if the current cumulative sum minus zero (the target sum) exists in the hashmap, which indicates a subarray summing to zero ends at the current index.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

void printAllSubarraysWithZeroSum(vector<int>& arr) {
    unordered_map<int, vector<int>> sumMap;
    int sum = 0;
    sumMap[0].push_back(-1); // Handle subarray starting from index 0

    for (int i = 0; i < arr.size(); i++) {
        sum += arr[i];
        if (sumMap.find(sum) != sumMap.end()) {
            for (int start : sumMap[sum]) {
                cout << ""Subarray from "" << start + 1 << "" to "" << i << endl;
            }
        }
        sumMap[sum].push_back(i);
    }
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) where n is the number of elements in the array, due to a single pass through the array. The space complexity is O(n) as well, due to the storage required for the hashmap."
Searching & Sorting,Product array Puzzle,"1. Problem Summary: 
   The problem requires calculating a product array where each element is the product of all elements in the input array except the one at the current index. The challenge is to do this without using division.

2. Approach:
   To solve this problem efficiently, use two auxiliary arrays: one to store the product of all elements to the left of each index (`left[]`), and another for the products of all elements to the right (`right[]`). First, fill the `left[]` array where each element at index `i` contains the product of all elements to its left. This can be done in a single pass from left to right. Then, fill the `right[]` array in a similar fashion but from right to left. Finally, the result for each index is obtained by multiplying the corresponding elements from `left[]` and `right[]`. This avoids division and utilizes a systematic approach to gather all necessary products efficiently.

3. Pseudo-code:
   ```cpp
   #include<bits/stdc++.h>
   using namespace std;

   vector<int> productArray(vector<int>& nums) {
       int n = nums.size();
       vector<int> left(n, 1), right(n, 1), prod(n);

       // Fill left array
       for (int i = 1; i < n; i++) {
           left[i] = left[i - 1] * nums[i - 1];
       }

       // Fill right array
       for (int j = n - 2; j >= 0; j--) {
           right[j] = right[j + 1] * nums[j + 1];
       }

       // Calculate the product array
       for (int i = 0; i < n; i++) {
           prod[i] = left[i] * right[i];
       }

       return prod;
   }
   ```

4. Time Complexity and Space Complexity:
   The time complexity is O(n) as we iterate over the array three times (once for `left[]`, once for `right[]`, and once to compute the product array). The space complexity is O(n) due to the additional arrays used for `left[]` and `right[]`."
Searching & Sorting,Sort array according to count of set bits,"1. Problem Summary: The task is to sort an array of integers based on the number of 1s in their binary representation. If two numbers have the same count of set bits, they should remain in the order they appeared in the original array.

2. Approach: The optimal approach involves using a stable sorting algorithm with a custom comparator. The comparator will prioritize numbers based on their count of set bits, which can be efficiently counted using the built-in `__builtin_popcount` function in C++. A stable sort is necessary to maintain the relative order of elements with the same number of set bits. By leveraging a stable sort like `stable_sort` from the C++ Standard Library, we can ensure that the elements are sorted correctly while maintaining the initial relative order for elements with equal set bit counts.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

bool compare(int a, int b) {
    int countA = __builtin_popcount(a);
    int countB = __builtin_popcount(b);
    return countA > countB;
}

void sortBySetBitCount(vector<int>& arr) {
    stable_sort(arr.begin(), arr.end(), compare);
}

int main() {
    vector<int> arr = {5, 3, 9, 4, 7, 2}; // Example array
    sortBySetBitCount(arr);
    for (int num : arr)
        cout << num << "" "";
    return 0;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n log n) due to the sorting, and the space complexity is O(1) since stable_sort is an in-place sorting algorithm if extra space is not considered for the internal workings of the sorting algorithm."
Searching & Sorting,minimum no. of swaps required to sort the array,"1. Problem Summary: The problem requires determining the minimum number of swaps needed to sort an array. The task is to rearrange the elements such that they are in ascending order, using the fewest swaps.

2. Approach: The optimal approach involves treating the array as a graph where each element is a node and each directed edge pairs the element with its correct position in a sorted array. First, find the correct position of each element by comparing it with a sorted version of the array. Then, identify cycles in this mapping, because each cycle can be resolved with a number of swaps equal to the size of the cycle minus one. Iterate through the array, and for each unvisited element, trace through its cycle to count the number of swaps needed, then move to the next unvisited element.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int minSwaps(vector<int> &arr) {
    int n = arr.size();
    vector<pair<int, int>> arrPos(n);
    for (int i = 0; i < n; i++)
        arrPos[i] = {arr[i], i};

    sort(arrPos.begin(), arrPos.end());
    vector<bool> visited(n, false);
    int swaps = 0;

    for (int i = 0; i < n; i++) {
        if (visited[i] || arrPos[i].second == i)
            continue;

        int cycle_size = 0;
        int j = i;
        while (!visited[j]) {
            visited[j] = true;
            j = arrPos[j].second;
            cycle_size++;
        }

        if (cycle_size > 0)
            swaps += (cycle_size - 1);
    }
    return swaps;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n log n) due to sorting, and the space complexity is O(n) for storing the element indices and visited status."
Searching & Sorting,Bishu and Soldiers,"1. Problem Summary:
   In the ""Bishu and Soldiers"" problem, Bishu wants to determine how many soldiers he can defeat and the total power of these soldiers, based on his power level. Given an array of soldiers' powers and multiple power levels of Bishu, for each power level, you need to output the number of soldiers defeated and their cumulative power.

2. Approach:
   First, sort the array of soldiers' powers in ascending order. This allows for efficient querying using binary search for each of Bishu's power levels. By finding the greatest power in the sorted array that is less than or equal to Bishu's current power, you can quickly determine the number of soldiers defeated (using the index in the sorted array) and the sum of their powers (using a prefix sum array). Create a prefix sum array in which each element at index `i` represents the sum of all powers from the start up to the `i-th` soldier. For each power level of Bishu, use binary search on the sorted powers array to find the appropriate soldiers, then use the prefix sum array to find the cumulative power.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

void bishuAndSoldiers(vector<int>& soldiers, vector<int>& powerLevels) {
    sort(soldiers.begin(), soldiers.end());
    vector<int> prefixSum(soldiers.size());
    prefixSum[0] = soldiers[0];
    for (int i = 1; i < soldiers.size(); i++) {
        prefixSum[i] = prefixSum[i-1] + soldiers[i];
    }

    for (int power : powerLevels) {
        int pos = upper_bound(soldiers.begin(), soldiers.end(), power) - soldiers.begin() - 1;
        if (pos == -1) {
            cout << ""0 0"" << endl;
        } else {
            cout << pos + 1 << "" "" << prefixSum[pos] << endl;
        }
    }
}
```

4. Time Complexity and Space Complexity:
   The time complexity is O(n log n) due to sorting and O(q log n) for processing q queries with binary search, where n is the number of soldiers. The space complexity is O(n) for storing the prefix sums."
Searching & Sorting,Rasta and Kheshtak,"1. Problem Summary:  
   The problem ""Rasta and Kheshtak"" involves finding the number of distinct groups of cells in a grid that can form a specific pattern. Each group must have a specific bitwise XOR sum of their values.

2. Approach:  
   The solution to this problem can be efficiently tackled using a technique similar to Gaussian elimination in linear algebra but applied to binary numbers (bitwise operations). The main idea is to use a modified version of Gaussian elimination to find the maximum XOR of a subset of numbers which represents the distinct groups in the grid. Start by treating each number (cell value) as a binary number. For each bit position from the most significant bit to the least significant bit, try to find a number in your list that has that bit set. If found, use this number to clear the corresponding bit in all other numbers. This process reduces the list to a form where each number is unique in terms of the XOR combinations it can form. Count these unique numbers to determine the number of distinct groups.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int countDistinctXORGroups(vector<int>& nums) {
    int index = 0;
    const int MAX_BITS = 31; // Assuming 32-bit integers
    for (int bit = MAX_BITS; bit >= 0; bit--) {
        int i = index;
        while (i < nums.size() && !(nums[i] & (1 << bit))) {
            i++;
        }
        if (i == nums.size()) continue;
        swap(nums[index], nums[i]);
        for (int j = 0; j < nums.size(); j++) {
            if (j != index && (nums[j] & (1 << bit))) {
                nums[j] ^= nums[index];
            }
        }
        index++;
    }
    return index; // The number of unique rows in the reduced matrix
}

vector<int> gridToNums(vector<vector<int>>& grid) {
    vector<int> nums;
    for (auto& row : grid) {
        for (int num : row) {
            nums.push_back(num);
        }
    }
    return nums;
}

int main() {
    vector<vector<int>> grid = {{...}}; // Input grid
    vector<int> nums = gridToNums(grid);
    cout << ""Number of distinct XOR groups: "" << countDistinctXORGroups(nums) << endl;
}
```

4. Time Complexity and Space Complexity:  
   The time complexity is O(N * B) where N is the number of elements in the grid and B is the number of bits in the numbers (typically 32 for integers). The space complexity is O(1), excluding the input size."
Searching & Sorting,Kth smallest number again,"1. Problem Summary:  
   The ""Kth smallest number again"" problem involves finding the kth smallest number within a given list of intervals. Each query specifies an interval and a k-value, and the task is to determine the kth smallest number within that interval.

2. Approach:  
   First, merge any overlapping intervals for simplicity using a sorting and merging technique. Start by sorting the intervals based on their start values. Then, iterate through the sorted intervals, merging them if they overlap or are contiguous. For each query, calculate the total count of numbers up to the kth value by iterating through the merged intervals. If the count surpasses k within an interval, calculate the exact number by adding the difference to the start of the current interval. This way, you focus only on relevant intervals, reducing unnecessary computations.

3. Pseudo-code:
   ```cpp
   #include <bits/stdc++.h>
   using namespace std;

   vector<pair<long long, long long>> mergeIntervals(vector<pair<long long, long long>>& intervals) {
       sort(intervals.begin(), intervals.end());
       vector<pair<long long, long long>> merged;
       for (auto interval : intervals) {
           if (merged.empty() || merged.back().second < interval.first - 1)
               merged.push_back(interval);
           else
               merged.back().second = max(merged.back().second, interval.second);
       }
       return merged;
   }

   long long findKthSmallest(vector<pair<long long, long long>>& intervals, long long k) {
       vector<pair<long long, long long>> merged = mergeIntervals(intervals);
       for (auto interval : merged) {
           long long count = interval.second - interval.first + 1;
           if (k <= count)
               return interval.first + k - 1;
           k -= count;
       }
       return -1; // if k is larger than the total elements in the intervals
   }
   ```

4. Time Complexity and Space Complexity:  
   The time complexity is O(n log n) due to sorting, and the space complexity is O(n) for storing merged intervals."
Searching & Sorting,Find pivot element in a sorted array,"1. Problem Summary: The task is to find the pivot element in a rotated sorted array where the array was initially sorted in ascending order and then some elements from the beginning were moved to the end.

2. Approach: To find the pivot element efficiently, utilize a binary search technique. The pivot is the point where the order of the sorted elements is disrupted. Start by comparing the middle element of the array with the endpoints. If the middle element is greater than the first element, the pivot must be on the right half of the array. Otherwise, it lies on the left half. Continue this process recursively or iteratively, narrowing down the search range by adjusting the start or end index based on the middle comparison until the pivot is found. This approach leverages the partially sorted nature of the array to skip over half the elements in each step.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int findPivot(vector<int>& nums) {
    int start = 0, end = nums.size() - 1;
    while (start <= end) {
        int mid = start + (end - start) / 2;
        if (mid < end && nums[mid] > nums[mid + 1]) {
            return mid + 1;
        }
        if (mid > start && nums[mid] < nums[mid - 1]) {
            return mid;
        }
        if (nums[start] <= nums[mid]) {
            start = mid + 1;
        } else {
            end = mid - 1;
        }
    }
    return 0; // If no rotation has been done, pivot is at index 0
}
```

4. Time Complexity and Space Complexity: The time complexity is O(log n) due to the binary search approach, and the space complexity is O(1) as only constant extra space is used."
Searching & Sorting,K-th Element of Two Sorted Arrays,"1. Problem Summary: Given two sorted arrays and an integer k, find the k-th element of the union of these two arrays. The arrays may have different sizes.

2. Approach: The optimal way to solve this problem is by using a binary search technique. Instead of merging the arrays, which would take O(n+m) time, we perform a binary search on the smaller array to find the partition point. The key idea is to partition both arrays such that the left part contains exactly k elements. Adjust the partition using binary search until the maximum element on the left side of both arrays is less than or equal to the minimum element on the right side of both arrays. This ensures that the k-th element (or the maximum of the left elements if the arrays were merged) is found at the partition boundary.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int findKthElement(vector<int>& arr1, vector<int>& arr2, int k) {
    if (arr1.size() > arr2.size()) return findKthElement(arr2, arr1, k);
    
    int n1 = arr1.size(), n2 = arr2.size();
    int low = max(0, k - n2), high = min(k, n1);

    while (low <= high) {
        int cut1 = (low + high) >> 1;
        int cut2 = k - cut1;
        int left1 = (cut1 == 0) ? INT_MIN : arr1[cut1 - 1];
        int left2 = (cut2 == 0) ? INT_MIN : arr2[cut2 - 1];
        int right1 = (cut1 == n1) ? INT_MAX : arr1[cut1];
        int right2 = (cut2 == n2) ? INT_MAX : arr2[cut2];

        if (left1 <= right2 && left2 <= right1) {
            return max(left1, left2);
        } else if (left1 > right2) {
            high = cut1 - 1;
        } else {
            low = cut1 + 1;
        }
    }
    return 1; // Control never reaches here
}
```

4. Time Complexity and Space Complexity: The time complexity is O(log(min(n, m))) where n and m are the sizes of the two arrays, and the space complexity is O(1)."
