TOPIC,PROBLEM LINK,SOLUTION
Dynamic Programming,Assembly Line SchedulingProblem,"1. Problem Summary: The Assembly Line Scheduling problem involves finding the minimum time required to assemble a product using two parallel assembly lines, where each line has its own set of stations and transfer times between the lines at certain stations.

2. Approach: Dynamic programming is utilized to solve this problem by breaking it down into smaller subproblems. Each subproblem represents the minimum time to reach a particular station on a particular line. We start by initializing the time required to enter the first station of both lines. For each subsequent station, we compute the minimum cost considering whether we continue on the same line or switch from the other line, adding the respective processing and transfer times. This approach builds up the minimum time required to reach the last station on each line, and the minimum of these gives the overall minimum time.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int assemblyLineScheduling(vector<vector<int>>& a, vector<vector<int>>& t, vector<int>& e, vector<int>& x) {
    int n = a[0].size(); // number of stations
    vector<vector<int>> dp(2, vector<int>(n, 0));

    // Entry times
    dp[0][0] = e[0] + a[0][0];
    dp[1][0] = e[1] + a[1][0];

    // Fill dp table
    for (int j = 1; j < n; ++j) {
        dp[0][j] = min(dp[0][j-1] + a[0][j], dp[1][j-1] + t[1][j-1] + a[0][j]);
        dp[1][j] = min(dp[1][j-1] + a[1][j], dp[0][j-1] + t[0][j-1] + a[1][j]);
    }

    // Adding exit times
    return min(dp[0][n-1] + x[0], dp[1][n-1] + x[1]);
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n), and the space complexity is O(n), where n is the number of stations."
Dynamic Programming,Painting the Fenceproblem,"1. Problem Summary: Given a fence with `n` posts and `k` colors, find the number of ways to paint the fence such that at most two adjacent posts have the same color.

2. Approach: This problem can be approached using dynamic programming. We define two states: `same[i]` which represents the number of ways to paint up to the i-th post where the i-th post has the same color as the (i-1)-th post, and `diff[i]` which represents the number of ways to paint up to the i-th post where the i-th post has a different color than the (i-1)-th post. The transitions are: `same[i] = diff[i-1]`, because to have the last two posts the same, the previous post must have been different from its predecessor. `diff[i] = (same[i-1] + diff[i-1]) * (k-1)`, because you can choose any of the remaining `k-1` colors. Initialize with `same[2] = k` and `diff[2] = k * (k-1)` for the first two posts.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int countWays(int n, int k) {
    if (n == 1) return k;
    vector<int> same(n + 1, 0), diff(n + 1, 0);
    same[2] = k;
    diff[2] = k * (k - 1);

    for (int i = 3; i <= n; i++) {
        same[i] = diff[i - 1];
        diff[i] = (same[i - 1] + diff[i - 1]) * (k - 1);
    }

    return same[n] + diff[n];
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) and the space complexity is also O(n) due to the storage of the `same` and `diff` arrays."
Dynamic Programming,Maximize The Cut Segments,"1. Problem Summary: The ""Maximize The Cut Segments"" problem involves finding the maximum number of segments of given lengths that can be cut from a rod of length `n`. The segment lengths are given as three integers `x`, `y`, and `z`.

2. Approach: The problem can be approached using dynamic programming by building a solution for each length from `1` to `n` based on the maximum segments that can be obtained using the lengths `x`, `y`, and `z`. Start by initializing a DP array where `dp[i]` represents the maximum number of segments that can be obtained with a rod of length `i`. Set `dp[0]` to 0 as no segments can be cut from a rod of length 0. For each length `i` from `1` to `n`, compute `dp[i]` by considering the maximum value after cutting a segment of length `x`, `y`, or `z` (if possible), ensuring to only consider valid cuts where `i` is greater than or equal to the segment length. This approach ensures that by the time you compute `dp[n]`, you have considered all possible segment combinations.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int maximizeCuts(int n, int x, int y, int z) {
    vector<int> dp(n + 1, -1); // Initialize dp array with -1 (indicating impossible cuts)
    dp[0] = 0; // Base case: no cuts needed for length 0

    for (int i = 1; i <= n; i++) {
        if (i >= x && dp[i - x] != -1) // Check if we can cut length x and if it's a valid state
            dp[i] = max(dp[i], dp[i - x] + 1);
        if (i >= y && dp[i - y] != -1) // Similarly check for length y
            dp[i] = max(dp[i], dp[i - y] + 1);
        if (i >= z && dp[i - z] != -1) // And check for length z
            dp[i] = max(dp[i], dp[i - z] + 1);
    }
    return dp[n] == -1 ? 0 : dp[n]; // If dp[n] is still -1, no valid cuts can be made
}

int main() {
    int n = 7, x = 2, y = 1, z = 3;
    cout << maximizeCuts(n, x, y, z) << endl; // Output the maximum number of cuts
    return 0;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n), as we compute the value for each length up to `n` once, and the space complexity is O(n) due to the storage required for the DP array."
Dynamic Programming,Longest Common Subsequence,"1. Problem Summary: The Longest Common Subsequence (LCS) problem involves finding the longest subsequence that is common to two sequences (not necessarily contiguous). The subsequence must appear in the same order in both sequences but not necessarily consecutively.

2. Approach: The optimal approach to find the LCS is using dynamic programming. Create a 2D array `dp` where `dp[i][j]` represents the length of the LCS of the first `i` characters of string `s1` and the first `j` characters of string `s2`. If the characters `s1[i-1]` and `s2[j-1]` are the same, then `dp[i][j]` will be `dp[i-1][j-1] + 1`. Otherwise, it will be the maximum of `dp[i-1][j]` and `dp[i][j-1]`, indicating we either skip a character from `s1` or `s2`. Start filling the table from `dp[0][0]` to `dp[m][n]`, where `m` and `n` are the lengths of `s1` and `s2`, respectively. This approach builds the solution incrementally and uses previously computed results for optimal substructure.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int longestCommonSubsequence(string s1, string s2) {
    int m = s1.length(), n = s2.length();
    vector<vector<int>> dp(m + 1, vector<int>(n + 1, 0));
    
    for (int i = 1; i <= m; ++i) {
        for (int j = 1; j <= n; ++j) {
            if (s1[i - 1] == s2[j - 1])
                dp[i][j] = dp[i - 1][j - 1] + 1;
            else
                dp[i][j] = max(dp[i - 1][j], dp[i][j - 1]);
        }
    }
    return dp[m][n];
}
```

4. Time Complexity and Space Complexity: The time complexity is O(m*n) and the space complexity is also O(m*n), where m and n are the lengths of the two input strings."
Dynamic Programming,Longest Repeated Subsequence,"1. Problem Summary: The Longest Repeated Subsequence (LRS) problem involves finding the longest subsequence of a string that appears at least twice without overlapping. The characters in the subsequence are not required to be consecutive but must maintain their order.

2. Approach: The optimal approach to solve the LRS problem is by using dynamic programming, similar to the Longest Common Subsequence (LCS) problem but with a twist. We construct a 2D array `dp` where `dp[i][j]` represents the length of the longest repeated subsequence for substrings ending at `i-1` in the original string and `j-1` in the same string. The difference here is, while filling the `dp` table, we only consider characters that match (`str[i-1] == str[j-1]`) and are not at the same position (`i != j`). This condition ensures that we do not consider the same character twice (no overlap). After populating the table, `dp[n][n]` gives the length of the LRS, where `n` is the length of the input string.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int longestRepeatedSubsequence(string str) {
    int n = str.length();
    vector<vector<int>> dp(n+1, vector<int>(n+1, 0));
    
    for (int i = 1; i <= n; i++) {
        for (int j = 1; j <= n; j++) {
            if (str[i-1] == str[j-1] && i != j)
                dp[i][j] = dp[i-1][j-1] + 1;
            else
                dp[i][j] = max(dp[i-1][j], dp[i][j-1]);
        }
    }
    return dp[n][n];
}
```

4. Time Complexity and Space Complexity: The time and space complexity of this algorithm are both O(n^2), where n is the length of the input string."
Dynamic Programming,Longest Increasing Subsequence,"1. Problem Summary: The Longest Increasing Subsequence (LIS) problem involves finding the length of the longest subsequence of a given sequence such that all elements of the subsequence are sorted in increasing order. The elements in the subsequence are not required to be contiguous in the original sequence.

2. Approach: The optimal approach to solve the LIS problem uses dynamic programming with a binary search for efficiency. We maintain an array `dp` where `dp[i]` represents the smallest possible ending element of an increasing subsequence of length `i+1`. For each element in the input array, we use binary search on the `dp` array to find the position where this element can extend the subsequence or replace an element to potentially start a new subsequence. This approach ensures that while we iterate through the input, we are dynamically updating the potential subsequences optimally.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int lengthOfLIS(vector<int>& nums) {
    vector<int> dp;
    for (int num : nums) {
        auto it = lower_bound(dp.begin(), dp.end(), num);
        if (it == dp.end()) {
            dp.push_back(num);
        } else {
            *it = num;
        }
    }
    return dp.size();
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n log n) due to the binary search for each element, and the space complexity is O(n), where n is the number of elements in the input array."
Dynamic Programming,Space Optimized Solution of LCS,"1. Problem Summary: The Longest Common Subsequence (LCS) problem involves finding the maximum length subsequence present in both sequences. The space-optimized solution reduces the memory usage compared to the traditional dynamic programming approach.

2. Approach: The traditional LCS problem uses a 2D table to store results of subproblems, which can be space-intensive. The space-optimized solution uses two 1D arrays that alternate row by row, reflecting the fact that to compute the LCS length at any point, you only need values from the current and previous rows. Start by initializing two arrays of length equal to the number of columns (length of the second string). Iterate through each character of the first string, updating the current row array based on comparisons with each character of the second string. Use the previous row's values for calculations and then swap the current and previous rows at the end of each iteration.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int lcsSpaceOptimized(string s1, string s2) {
    int m = s1.length(), n = s2.length();
    vector<int> prev(n+1, 0), curr(n+1, 0);

    for (int i = 1; i <= m; i++) {
        for (int j = 1; j <= n; j++) {
            if (s1[i-1] == s2[j-1])
                curr[j] = 1 + prev[j-1];
            else
                curr[j] = max(prev[j], curr[j-1]);
        }
        prev = curr; // Swap current and previous row for next iteration
    }
    return prev[n];
}
```

4. Time Complexity and Space Complexity: The time complexity is O(m*n) and the space complexity is O(n), where m and n are the lengths of the two input strings."
Dynamic Programming,LCS (Longest Common Subsequence) of three strings,"1. Problem Summary: The problem is to find the length of the longest common subsequence (LCS) among three given strings. A subsequence is a sequence that can be derived from another sequence by deleting some elements without changing the order of the remaining elements.

2. Approach: The LCS of three strings can be solved using a 3D dynamic programming approach. We create a 3D table `dp` where `dp[i][j][k]` represents the length of LCS of the substrings `A[0..i-1]`, `B[0..j-1]`, and `C[0..k-1]`. If the characters `A[i-1]`, `B[j-1]`, and `C[k-1]` are the same, then `dp[i][j][k] = dp[i-1][j-1][k-1] + 1`. If they are not the same, the value is the maximum of the results obtained by ignoring one of the strings at a time, i.e., `dp[i][j][k] = max(dp[i-1][j][k], dp[i][j-1][k], dp[i][j][k-1])`. Start by initializing the base cases where any dimension is zero, meaning the LCS length is zero. This builds intuition on reducing the problem size by handling one character mismatch or match at a time.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int LCSof3(string A, string B, string C) {
    int x = A.size(), y = B.size(), z = C.size();
    vector<vector<vector<int>>> dp(x+1, vector<vector<int>>(y+1, vector<int>(z+1, 0)));

    for (int i = 1; i <= x; ++i) {
        for (int j = 1; j <= y; ++j) {
            for (int k = 1; k <= z; ++k) {
                if (A[i-1] == B[j-1] && B[j-1] == C[k-1]) {
                    dp[i][j][k] = dp[i-1][j-1][k-1] + 1;
                } else {
                    dp[i][j][k] = max({dp[i-1][j][k], dp[i][j-1][k], dp[i][j][k-1]});
                }
            }
        }
    }
    return dp[x][y][z];
}
```

4. Time Complexity and Space Complexity: The time complexity is O(xyz) and the space complexity is O(xyz), where x, y, and z are the lengths of the three input strings."
Dynamic Programming,Maximum Sum Increasing Subsequence,"1. Problem Summary: The ""Maximum Sum Increasing Subsequence"" problem involves finding the maximum sum of a subsequence in an array such that the subsequence's elements are in strictly increasing order. The subsequence does not need to be contiguous.

2. Approach: To solve this, we use dynamic programming. We maintain an array `dp` where `dp[i]` represents the maximum sum of an increasing subsequence ending at index `i`. Initialize each `dp[i]` with `arr[i]` because the minimum sum for any single element sequence is the element itself. For each element in the array, compare it with all previous elements. If an element `arr[j]` (where `j < i`) is less than `arr[i]`, then check if this pair can form a part of the increasing subsequence leading to a higher sum (`dp[j] + arr[i]`). Update `dp[i]` if this sum is greater than the current `dp[i]`. Finally, the answer will be the maximum value in the `dp` array.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int maxSumIS(vector<int>& arr) {
    int n = arr.size();
    vector<int> dp(n);
    
    // Initialize dp array
    for (int i = 0; i < n; i++) {
        dp[i] = arr[i];
    }
    
    // Fill dp array using the described approach
    for (int i = 1; i < n; i++) {
        for (int j = 0; j < i; j++) {
            if (arr[j] < arr[i] && dp[i] < dp[j] + arr[i]) {
                dp[i] = dp[j] + arr[i];
            }
        }
    }
    
    // Find the maximum value in dp array
    return *max_element(dp.begin(), dp.end());
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n^2) due to the nested loops, and the space complexity is O(n) for storing the dp array."
Dynamic Programming,Count all subsequences having product less than K,"1. Problem Summary: 
   The problem is to count all subsequences of a given array whose product of elements is less than a specified integer K. The array elements and K are positive integers.

2. Approach: 
   We use a dynamic programming approach to solve this problem by creating a 2D DP table where `dp[i][j]` represents the count of subsequences using the first `i` elements of the array that have a product less than `j`. We initialize the DP table such that `dp[0][j]` is 0 for all `j` because no product is possible with zero elements, and `dp[i][0]` is 1 for all `i` because there is one subsequence (empty subsequence) with product less than 1. For each element `arr[i]`, we iterate over possible product values `j` from 1 to K-1. If `arr[i]` is less than `j`, `dp[i][j]` is updated as the sum of the subsequences excluding the current element (`dp[i-1][j]`) and including the current element (`dp[i-1][j/arr[i]]`). Otherwise, it only considers subsequences excluding the current element.

3. Pseudo-code:
   ```cpp
   #include <bits/stdc++.h>
   using namespace std;

   int countSubsequences(vector<int> &arr, int K) {
       int n = arr.size();
       vector<vector<int>> dp(n + 1, vector<int>(K, 0));

       for (int i = 0; i <= n; i++) {
           dp[i][0] = 1; // Base case: one subsequence (empty) for product less than 1
       }

       for (int i = 1; i <= n; i++) {
           for (int j = 1; j < K; j++) {
               dp[i][j] = dp[i-1][j]; // Subsequences without current element
               if (arr[i-1] < j) {
                   dp[i][j] += dp[i-1][j / arr[i-1]]; // Include current element if valid
               }
           }
       }

       return dp[n][K-1];
   }
   ```

4. Time Complexity and Space Complexity: 
   The time complexity is O(n * K) and the space complexity is O(n * K) where n is the number of elements in the array and K is the product threshold."
Dynamic Programming,Longest subsequence such that difference between adjacent is one,"1. Problem Summary: The problem is to find the length of the longest subsequence in an array where the absolute difference between adjacent elements in the subsequence is one. The array's elements are not necessarily sorted.

2. Approach: Use dynamic programming to solve this problem by maintaining an array `dp` where `dp[i]` represents the length of the longest subsequence ending at index `i`. Initialize each element of `dp` to 1, as the minimum subsequence ending at any element is the element itself. Iterate through the array, and for each element at index `i`, check previous indices `j` (from 0 to i-1). If the absolute difference between the element at `i` and `j` is one, update `dp[i]` to the maximum of its current value and `dp[j] + 1`. The answer will be the maximum value in the `dp` array. This method leverages the subproblem of finding the longest subsequence up to each index, building upon these results to find the overall longest subsequence.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int longestSubsequence(int arr[], int n) {
    vector<int> dp(n, 1); // Initialize dp array with 1
    int max_length = 1; // Minimum length of subsequence is 1

    for (int i = 1; i < n; i++) {
        for (int j = 0; j < i; j++) {
            if (abs(arr[i] - arr[j]) == 1) {
                dp[i] = max(dp[i], dp[j] + 1);
            }
        }
        max_length = max(max_length, dp[i]);
    }
    return max_length;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n^2) due to the nested loops, and the space complexity is O(n) for storing the dp array."
